ID_HECHO,N_VICTIMAS,FECHA,HORA,COMUNA,TIPO_DE_CALLE,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
LC-2020-0038825,5,2020-01-19,7.0,4,CALLE,Point (108928.133622976 98646.5257179543),-58.365921164572,-34.641432354352,AUTO
LC-2020-0038878,1,2020-01-19,8.0,5,AVENIDA,Point (104223.813825667 101707.170015322),-58.417246006947,-34.613872447591,
LC-2020-0039116,1,2020-01-19,13.0,10,AVENIDA,Point (97356.3837321517 99220.756193461),-58.492131936371,-34.63629087542,AUTO
LC-2020-0039180,6,2020-01-19,14.0,8,GRAL PAZ,Point (99237.0257487008 92549.9978802241),-58.471627565054,-34.696426529767,
LC-2020-0039255,1,2020-01-19,11.0,3,AVENIDA,Point (105272.095607381 102274.42246096),-58.405819712837,-34.608754208186,
LC-2020-0039270,1,2020-01-19,13.0,15,AVENIDA,Point (102123.379690699 102893.989822834),-58.440150671847,-34.60318034215,AUTO
LC-2020-0039313,1,2020-01-19,17.0,10,CALLE,Point (95999.1661961667 100750.15853807),-58.506926819045,-34.62249978512,AUTO
LC-2020-0039341,1,2020-01-19,18.0,11,GRAL PAZ,Point (94879.1290936857 104434.540057847),-58.519117770109,-34.589282193913,AUTO
LC-2020-0039549,1,2020-01-19,20.0,4,AVENIDA,Point (103484.118882842 97687.6245557276),-58.425294899928,-34.650108899839,AUTO
LC-2020-0039972,2,2020-01-20,7.0,15,AVENIDA,Point (102106.280636472 102593.066895453),-58.440336357749,-34.605893022951,AUTO
LC-2020-0039977,1,2020-01-20,7.0,12,GRAL PAZ,Point (97850.5741709057 109546.394283786),-58.486715357861,-34.5432121651,CAMIONETA
LC-2020-0040098,2,2020-01-20,9.0,11,AVENIDA,Point (97089.2676200371 103567.412790657),-58.495029984605,-34.597107618797,CAMION
LC-2020-0040305,1,2020-01-20,10.0,11,CALLE,Point (97945.1495816648 101573.995070958),-58.485704832746,-34.615079239489,TAXI
LC-2020-0040466,1,2020-01-20,12.0,10,CALLE,Point (98963.4538151928 99690.2394164095),-58.474604166317,-34.632061745713,TRANSPORTE PUBLICO
LC-2020-0040536,1,2020-01-20,12.0,,,,,,CAMIONETA
LC-2020-0040692,1,2020-01-20,11.0,5,CALLE,Point (103172.029855159 101809.858740761),-58.428714353965,-34.612950503121,OBJETO FIJO
LC-2020-0040897,1,2020-01-20,12.0,9,AUTOPISTA,Point (99113.1785220735 96319.0672852064),-58.472975057147,-34.662450853805,
LC-2020-0041296,1,2020-01-20,14.0,13,CALLE,Point (99251.6481497489 109634.717677404),-58.471451792165,-34.542418020435,
LC-2020-0041475,1,2020-01-20,15.0,4,AVENIDA,Point (106649.253781282 99859.3203797241),-58.390786226195,-34.630516966208,AUTO
LC-2020-0041539,1,2020-01-20,14.0,1,AVENIDA,Point (108748.148645124 102669.050009103),-58.367925485175,-34.605173320417,AUTO
LC-2020-0041672,1,2020-01-20,17.0,1,CALLE,Point (108171.4161318 103851.310016169),-58.374224441952,-34.594520654553,AUTO
LC-2020-0041806,1,2020-01-20,18.0,13,AVENIDA,Point (99370.491926601 108787.534531834),-58.470157786089,-34.550055046949,
LC-2020-0041859,1,2020-01-20,18.0,5,CALLE,Point (104435.065270082 102596.244742783),-58.414947247561,-34.605857081382,CAMIONETA
LC-2020-0041865,1,2020-01-20,18.0,13,CALLE,Point (99928.9738627059 108128.467703872),-58.464073210571,-34.555996424658,TRANSPORTE PUBLICO
LC-2020-0042004,1,2020-01-20,15.0,13,CALLE,Point (99721.5179465376 107427.020009991),-58.466333883044,-34.562319571918,TAXI
LC-2020-0042021,1,2020-01-20,19.0,5,AVENIDA,Point (104223.813825667 101707.170015322),-58.417246006947,-34.613872447591,AUTO
